Make,Model,Year,Mileage,Price,Fuel,Registration_City,Documents,Assembly,Transmission,Car_Age,Mileage_Per_Year
Toyota,Passo,2020,18830,4300000,Petrol,Unregistered,Original,Imported,Automatic,6,2690.0
Honda,Civic Oriel,2017,75000,4790000,Petrol,Lahore,Original,Local,Automatic,9,7500.0
Suzuki,Wagon R,2021,21000,2729000,Petrol,Punjab,Original,Local,Manual,5,3500.0
Honda,City IDSI,2006,28005,1600000,Petrol,Karachi,Original,Local,Manual,20,1333.5714285714287
Changan,Karvaan,2022,2400,2750000,Petrol,Karachi,Original,Local,Manual,4,480.0
Toyota,Yaris,2021,32000,4700000,Petrol,Lahore,Original,Local,Automatic,5,5333.333333333333
Suzuki,Mehran VXR,2003,150000,550000,CNG,Lahore,Original,Local,Manual,23,6250.0
Suzuki,Cultus VXR,2003,69000,825000,Petrol,Lahore,Original,Local,Manual,23,2875.0
Suzuki,Alto,2014,44000,2300000,Petrol,Karachi,Original,Imported,Automatic,12,3384.6153846153848
Hyundai,Santro,2005,150000,775000,Petrol,Lahore,Original,Imported,Manual,21,6818.181818181818
KIA,Classic,2002,150000,700000,CNG,Lahore,Original,Imported,Manual,24,6000.0
Mercedes,E Class,2000,159123,1875000,Petrol,Islamabad,Original,Imported,Automatic,26,5893.444444444444
Suzuki,Alto,2008,45000,870000,Petrol,Lahore,Original,Local,Manual,18,2368.4210526315787
Honda,Civic Oriel,2017,105000,4630000,Petrol,Islamabad,Original,Local,Automatic,9,10500.0
Suzuki,Mehran VXR,2017,60000,1200000,Petrol,Chishtian Mandi,Original,Local,Manual,9,6000.0
Toyota,Passo,2011,100000,2150000,Petrol,Karachi,Original,Imported,Automatic,15,6250.0
Toyota,Yaris,2021,45000,3750000,Petrol,Punjab,Original,Local,Automatic,5,7500.0
Suzuki,Bolan,2010,1234,980000,CNG,Karachi,Original,Local,Manual,16,72.58823529411765
Suzuki,Bolan,2010,10000,640000,Petrol,Lahore,Original,Imported,Manual,16,588.2352941176471
Daihatsu,Cuore,2007,150000,850000,Petrol,Karachi,Original,Local,Automatic,19,7500.0
Daihatsu,Hijet,2011,73000,1335000,Petrol,Karachi,Original,Imported,Automatic,15,4562.5
Honda,Civic Oriel,2010,110000,2350000,Petrol,Lahore,Original,Local,Automatic,16,6470.588235294118
Honda,City IVTEC,2012,67000,2975000,Petrol,Lahore,Original,Local,Automatic,14,4466.666666666667
Honda,City IDSI,2004,150000,1350000,Petrol,Sindh,Original,Local,Manual,22,6521.739130434783
Honda,City IVTEC,2017,92000,3350000,Petrol,Lahore,Original,Local,Manual,9,9200.0
Suzuki,Ravi,2011,94563,720000,Petrol,Karachi,Original,Imported,Manual,15,5910.1875
Honda,City IDSI,2002,100000,980000,Petrol,Lahore,Original,Local,Manual,24,4000.0
Mercedes,C Class,2004,95000,3000000,Petrol,Karachi,Original,Imported,Automatic,22,4130.434782608696
Suzuki,Swift,2013,121000,1600000,Petrol,Lahore,Original,Local,Manual,13,8642.857142857143
Toyota,Yaris,2021,42000,4000000,Petrol,Lahore,Original,Local,Manual,5,7000.0
FAW,X-PV,2017,70000,850000,Petrol,Lahore,Original,Local,Manual,9,7000.0
Daihatsu,Move,2014,99000,2095000,Petrol,Karachi,Original,Imported,Automatic,12,7615.384615384615
Toyota,Corolla GLI,2018,123456,3750000,Petrol,Lahore,Original,Local,Manual,8,13717.333333333334
Daihatsu,Cuore,2006,120000,900000,Petrol,Faisalabad,Original,Local,Manual,20,5714.285714285715
Toyota,Corolla GLI,2013,200000,2650000,Petrol,Lahore,Original,Imported,Manual,13,14285.714285714286
Toyota,Corolla XLI,2007,150000,1800000,Petrol,Lahore,Original,Local,Manual,19,7500.0
Toyota,Corolla GLI,2004,100000,1430000,Petrol,Karachi,Original,Imported,Manual,22,4347.826086956522
Honda,City Aspire,2017,67000,3450000,Petrol,Karachi,Original,Local,Automatic,9,6700.0
Daihatsu,Mira,2016,82000,2800000,Petrol,Lahore,Original,Imported,Automatic,10,7454.545454545455
Suzuki,Mehran VXR,2014,10000,900000,Petrol,Lahore,Original,Imported,Manual,12,769.2307692307693
Suzuki,Alto,2005,150000,700000,CNG,Rawalpindi,Original,Local,Manual,21,6818.181818181818
Suzuki,Wagon R,2018,49000,2240000,Petrol,Islamabad,Original,Local,Manual,8,5444.444444444444
Honda,City Aspire,2017,62000,3650000,Petrol,Lahore,Original,Local,Manual,9,6200.0
Honda,City Vario,2005,154000,1670000,Petrol,Karachi,Original,Local,Automatic,21,7000.0
Suzuki,Mehran VXR,2014,56000,930000,Petrol,Lahore,Original,Local,Manual,12,4307.692307692308
Honda,Civic Oriel,2004,20000,1550000,Petrol,Karachi,Original,Local,Automatic,22,869.5652173913044
Honda,City Aspire,2016,75000,3650000,Petrol,Islamabad,Original,Local,Automatic,10,6818.181818181818
Suzuki,Swift,2022,10000,4280000,Petrol,Karachi,Original,Local,Automatic,4,2000.0
Suzuki,Cultus VXR,2012,82500,1235000,Petrol,Karachi,Original,Local,Manual,14,5500.0
Daihatsu,Cuore,2010,100000,900000,Petrol,Karachi,Original,Imported,Manual,16,5882.35294117647
Honda,Civic Oriel,2010,95000,2700000,Petrol,Lahore,Original,Local,Automatic,16,5588.235294117647
Honda,City IVTEC,2016,99000,3395000,Petrol,Islamabad,Original,Local,Automatic,10,9000.0
Toyota,Corrolla Altis,2017,110000,4600000,Petrol,Sindh,Original,Local,Automatic,9,11000.0
Suzuki,Bolan,2013,16000,800000,Petrol,Karachi,Original,Local,Manual,13,1142.857142857143
Daihatsu,Hijet,2013,165280,1350000,Petrol,Lahore,Original,Imported,Automatic,13,11805.714285714286
KIA,Picanto,2021,43000,2975000,Petrol,Karachi,Original,Local,Automatic,5,7166.666666666667
Daihatsu,Mira,2014,92000,2075000,Petrol,Karachi,Original,Imported,Automatic,12,7076.923076923077
Suzuki,Alto,2004,125000,650000,Petrol,Karachi,Original,Local,Manual,22,5434.782608695652
Daihatsu,Move,2013,117000,1625000,Petrol,Lahore,Original,Imported,Automatic,13,8357.142857142857
Toyota,Passo,2018,80000,3725000,Petrol,Sindh,Original,Imported,Automatic,8,8888.888888888889
